FID,REPDIST,PREC,APREC,BUREAU,BASICCAR,AREA,PERIMETER,SHAPE_Length,SHAPE_Area
991,1871,18,SOUTHEAST,SOUTH BUREAU,18A97,13931929.4308,15975.9562232,0.0469365055707794,0.000126155996449605
992,1881,18,SOUTHEAST,SOUTH BUREAU,18A97,13523080.7893,15569.8380391,0.0455873090910129,0.00012243350976343
993,1891,18,SOUTHEAST,SOUTH BUREAU,18A97,8696931.49008,12288.8801086,0.0368610162249834,7.87283999457241e-05
994,501,5,HARBOR,SOUTH BUREAU,5A1,24225330.1783,25795.1082848,0.0799269330966362,0.000219265142779599
995,502,5,HARBOR,SOUTH BUREAU,5A1,2279467.32005,6523.08809786,0.0195174756910457,2.0632492859866e-05
996,504,5,HARBOR,SOUTH BUREAU,5A1,26103236.6058,23282.1720842,0.0673064281749039,0.000236214679531048
997,505,5,HARBOR,SOUTH BUREAU,5A1,14208068.8368,19952.1743472,0.0605130933626129,0.000128579154545056
998,506,5,HARBOR,SOUTH BUREAU,5A1,11714022.3403,13918.0072896,0.0415100069636982,0.00010598133376686
999,519,5,HARBOR,SOUTH BUREAU,5A15,44662324.465,56458.3846359,0.166582409334692,0.000403912453659707
1000,507,5,HARBOR,SOUTH BUREAU,5A1,11356021.4386,14308.1022786,0.0426696007684778,0.000102729280543738
1001,508,5,HARBOR,SOUTH BUREAU,5A11,8990764.35014,13489.076845,0.0400332430013468,8.13235359078883e-05
1002,509,5,HARBOR,SOUTH BUREAU,5A11,12066207.8976,15408.6119051,0.0456501011195458,0.00010912909184098
1003,518,5,HARBOR,SOUTH BUREAU,5A15,10535450.473,16626.3076558,0.0494291172236238,9.52803694143203e-05
1004,515,5,HARBOR,SOUTH BUREAU,5A15,10252327.5136,12878.1808569,0.0392002116137972,9.27163679429264e-05
1005,514,5,HARBOR,SOUTH BUREAU,5A15,15698893.0403,19760.285056,0.0576643213886236,0.000141963370660824
1006,513,5,HARBOR,SOUTH BUREAU,5A11,26290296.4495,23919.9864525,0.0717651556138452,0.000237730272785841
1007,503,5,HARBOR,SOUTH BUREAU,5A11,8736988.90596,12436.115345,0.0383901659858299,7.90117687331014e-05
1008,511,5,HARBOR,SOUTH BUREAU,5A11,6140522.25094,9939.71919853,0.0302173298466425,5.55300457744397e-05
1009,517,5,HARBOR,SOUTH BUREAU,5A17,8874142.01872,11944.4709118,0.036047128040715,8.02456200251043e-05
1010,528,5,HARBOR,SOUTH BUREAU,5A17,9041914.99638,12648.8187925,0.0386348276441361,8.17628826012023e-05
1011,516,5,HARBOR,SOUTH BUREAU,5A15,5205897.06295,9529.49016931,0.0280931623613866,4.7074754110892e-05
1012,532,5,HARBOR,SOUTH BUREAU,5A15,5587654.20238,9852.36237655,0.0291524666306446,5.0526664708471e-05
1013,531,5,HARBOR,SOUTH BUREAU,5A11,5536735.98824,10016.6097419,0.0303780854315219,5.006624626374e-05
1014,529,5,HARBOR,SOUTH BUREAU,5A17,70261260.3226,37770.8448628,0.115963558497848,0.00063525695564136
1015,512,5,HARBOR,SOUTH BUREAU,5A11,4595458.77049,9914.78359237,0.0310002145809385,4.15522517108486e-05
1016,526,5,HARBOR,SOUTH BUREAU,5A25,4122848.54475,8198.27374276,0.0246761829800801,3.72780287100977e-05
1017,522,5,HARBOR,SOUTH BUREAU,5A25,3453329.63414,7567.22474897,0.0226027691365859,3.12242683529708e-05
1018,521,5,HARBOR,SOUTH BUREAU,5A55,62414018.7101,35497.0695073,0.10678585228039,0.000564265781206727
1019,524,5,HARBOR,SOUTH BUREAU,5A25,5025496.35042,9626.26560053,0.028258608255069,4.54369393640477e-05
